d,quantity,info
402,1.0 handful,fresh mint leaves
403,1.0 handful,fresh parsley leaves
404,8.0 cloves,garlic
405,2.0 teaspoons,harissa
406,4.0 servings,kosher salt
407,4.0 servings,parmigiano reggiano
408,4.0 servings,pepper
409,4.0 servings,salt
410,1.5 cup,all purpose flour
411,1.5 teaspoon,baking powder
412,3.0 tablespoon,dark brown sugar
413,0.75 cup,granulated sugar
414,2.0 tablespoon,milk
415,1.0 teaspoon,orange zest
416,3.0 servings,peaches
417,0.25 teaspoon,salt
418,4.0 ounce,unsalted butter
419,2.0 teaspoon,vanilla
420,6.0 servings,whipped cream
421,1.0 cup,beef broth
422,2.0 pounds,beef chuck roast
423,0.333333333333 cup,bread crumbs
424,4.5 ounce,canned mushrooms
425,3.0 servings,carrots
426,4.0 stalks,celery
427,21.5 ounce,condensed tomato soup
428,1.0 teaspoon,dried basil
429,0.125 teaspoon,ground pepper
430,0.333333333333 cup,quick cooking tapioca
431,1.0 teaspoon,salt
432,1.0 teaspoon,soy sauce
433,1.0 servings,yellow onion
434,0.5 teaspoon,baking soda
435,4.0 tablespoons,butter
436,0.25 cup,chocolate chips
437,1.0 servings,egg
438,0.5 cup,erythritol
439,1.25 cup,flour
440,1.0 teaspoon,liquid stevia
441,0.25 teaspoon,salt
442,0.5 cup,unsweetened cocoa powder
443,1.0 teaspoon,vanilla extract
444,0.5 cup,zucchini
445,0.666666666667 cup,coconut cream
446,1.0 tablespoons,coffee
447,14.0 ounce,full-fat coconut milk
448,1.0 tablespoon,instant coffee
449,0.666666666667 cup,maple syrup
450,0.5 teaspoon,sea salt
451,0.666666666667 cup,strong brewed coffee
452,2.0 teaspoons,vanilla extract
453,0.5 tsp,black pepper
454,8.0 oz,broccoli crowns
455,1.0 servings,carrot
456,2.0 stalks,celery
457,0.5 tsp,dry mustard
458,3.0 cloves,garlic
459,0.25 tsp,nutmeg
460,1.0 servings,onion
461,0.25 tsp,paprika
462,1.0 servings,potato
463,1.0 tsp,salt
464,1.0 cup,sharp cheddar cheese
465,0.5 cup,sour cream
466,28.0 ounce,vegetable broth
467,1.0 tablespoon,whole wheat flour
468,2.0 teaspoons,baking powder
469,0.666666666667 cup,brown sugar
470,3.4 ounces,butterscotch pudding mix
471,0.75 cup,canola oil
472,4.0 servings,eggs
473,2.0 cups,flour
474,2.0 teaspoons,ground cinnamon
475,3.4 ounces,instant vanilla pudding mix
476,0.5 cup,pecans
477,1.0 teaspoon,salt
478,1.0 cup,sugar
479,1.0 teaspoon,vanilla extract
480,1.0 cup,water
481,0.5 cup,avocado
482,0.5 teaspoon,black pepper
483,1.0 servings,jalapeno
484,1.0 cup,lettuce
485,1.0 teaspoon,olive oil
486,0.5 cup,onions
487,1.0 pound,salmon fillet
488,0.5 cup,sour cream
489,0.5 packet,taco seasoning
490,0.5 cup,tomatoes
491,1.0 can,canned corn
492,2.0 lbs,chicken tenders
493,1.0 tsp,chili powder
494,8.0 oz,cream cheese
495,1.0 Tbs,cumin
496,1.0 servings,onion
497,1.0 servings,red bell pepper
498,8.0 servings,tortillas
499,1.0 tsp,basil
500,1.5 cups,beef broth
501,2.0 servings,bell peppers
502,15.0 oz,canned tomatoes
503,0.05 servings,cracked pepper
504,1.0 clove,garlic
505,0.5 lb,ground beef
506,1.0 Tbsp,olive oil
507,1.0 servings,onion
508,1.0 tsp,oregano
509,1.0 cup,rice
510,8.0 oz,tomato sauce
511,1.0 tsp,worcestershire sauce
512,4.0 servings,asparagus
513,0.5 teaspoon,dried basil
514,0.5 teaspoon,dried thyme
515,1.0 tablespoon,fat of choice
516,1.0 teaspoon,garlic powder
517,1.0 teaspoon,onion powder
518,6.0 oz,salmon
519,4.0 servings,salt and pepper
520,12.0 servings,whole eggs
521,0.25 teaspoon,almond extract
522,2.0 cups,flour
523,0.25 cup,granulated sugar
524,24.0 servings,jam
525,0.5 teaspoon,salt
526,1.0 cup,unsalted butter
527,0.5 teaspoon,vanilla extract
528,28.0 oz,canned tomatoes
529,1.0 teaspoon,chili powder
530,1.0 teaspoon,cumin
531,1.0 teaspoon,curry powder
532,4.0 servings,eggs
533,1.0 Tablespoon,extra virgin olive oil
534,4.0 cloves,garlic
535,1.0 cup,kale
536,4.0 servings,lemon pepper seasoning
537,1.0 servings,onion
538,0.5 teaspoon,turmeric
539,1.0 teaspoon,baking powder
540,1.0 cup,butter
541,2.0 servings,eggs
542,2.0 cups,flour
543,2.0 servings,lemon zest
544,0.5 cup,meyer lemon
545,1.0 cup,plain greek yogurt
546,1.0 tablespoon,poppy seeds
547,0.25 teaspoon,salt
548,1.75 cups,sugar
549,0.5 teaspoon,vanilla
550,0.333333333333 pound,bacon
551,6.0 servings,basil
552,0.75 cup,chicken stock
553,1.0 servings,chile pepper
554,3.0 servings,egg yolks
555,1.0 tablespoon,extra virgin olive oil
556,1.0 pound,fettuccine
557,1.0 handful,fresh flat-leaf parsley
558,1.0 tablespoon,fresh thyme
559,6.0 cloves,garlic
560,1.0 servings,lemon
561,2.0 handfuls,parmigiano reggiano cheese
562,2.0 handfuls,pecorino romano cheese
563,6.0 servings,salt and pepper
564,1.0 bunch,scallions
565,10.0 slices,bacon
566,2.0 tablespoons,butter
567,1.0 clove,garlic
568,2.0 cups,grits
569,0.25 cup,half and half
570,0.5 cup,onion
571,1.0 pound,scallops
572,2.0 cups,shredded cheddar cheese
573,4.0 cups,water
574,6.0 servings,bacon rashers
575,9.0 slices,bread
576,1.0 servings,carrot
577,12.0 slices,cucumber
578,1.0 servings,lettuce
579,2.0 servings,tomatoes
580,200.0 g,pack cheese
581,454.0 grams,elbow macaroni
582,60.0 ml,flat-leaf parsley
583,60.0 ml,flour
584,473.0 ml,fontina cheese
585,237.0 ml,panko breadcrumbs
586,118.0 ml,parmigiano reggiano cheese
587,8.0 servings,salt and pepper
588,710.0 ml,sharp cheddar cheese
589,1.0 can,truffle mushrooms
590,60.0 ml,unsalted butter
591,946.0 ml,whole milk
592,0.5 tsp,baking soda
593,12.0 ounces,chocolate
594,0.75 cup,cocoa powder
595,0.333333333333 cup,coconut oil
596,1.0 servings,confectioners sugar
597,0.75 cup,creamy peanut butter
598,1.0 servings,egg
599,1.0 quart,ice cream
600,1.0 tsp,kosher salt
601,1.0 tablespoon,milk
602,1.0 cup,semisweet chocolate chips
603,0.75 cup,sugar
604,1.5 cups,unbleached flour
605,1.0 cup,unsalted butter
606,1.0 tsp,vanilla extract
607,0.25 cup,brown sugar
608,2.0 teaspoons,canola oil
609,0.666666666667 cup,celery
610,2.0 tablespoons,chili powder
611,1.0 servings,green bell pepper
612,1.0 cup,ketchup
613,0.25 cup,low sodium chicken broth
614,0.333333333333 cup,onion
615,24.0 ounces,pork loin chops
616,2.0 slices,bacon
617,1.0 Tablespoon,butter
618,2.0 Tablespoons,cornstarch
619,1.0 cup,french fried onions
620,1.0 lb,green beans
621,4.0 servings,salt and pepper
622,7.0 servings,white mushrooms
623,2.0 cups,whole milk
624,0.5 cup,yellow onion
625,6.0 ounces,baking chocolate
626,1.0 teaspoon,baking powder
627,1.0 cup,butter
628,6.0 servings,eggs
629,3.0 cups,flour
630,1.0 cup,pecans
631,0.5 teaspoon,salt
632,3.0 cups,sugar
633,10.0 ounces,vanilla
634,2.0 teaspoons,vanilla extract
635,1.0 box,brownie mix
636,0.75 cup,canola oil
637,2.0 containers,chocolate frosting
638,2.0 servings,eggs
639,2.0 cups,oreo cookie
640,0.25 cup,water
641,0.25 cup,dried cranberries
642,1.0 servings,egg
643,0.333333333333 cup,honey
644,1.0 Tablespoon,kosher salt
645,0.5 cup,old-fashioned oats
646,0.25 cup,pepitas
647,1.0 servings,pumpkin pie spice
648,0.75 cup,rye flour
649,4.0 cups,unbleached flour
650,5.0 Tablespoons,unsalted butter
651,2.0 cups,water
652,0.75 cup,whole wheat flour
653,1.5 tablespoons,yeast
654,9.0 servings,neutral- tasting oil
655,2.0 tablespoons,butter
656,2.0 tablespoons,celery
657,3.0 cups,chicken broth
658,2.0 tablespoons,flour
659,4.0 servings,fresh parsley
660,0.125 teaspoon,ground nutmeg
661,1.0 cup,half n half cream
662,0.5 cup,milk
663,2.0 tablespoons,onion
664,1.0 cup,walnuts
665,3.0 slices,bacon
666,0.25 cup,corn oil
667,1.0 servings,green bell pepper
668,16.0 ounce,okra
669,1.0 servings,onion
670,1.0 servings,tomato
671,0.333333333333 cup,white sugar
672,0.25 cup,white vinegar
673,2.0 cups,angel food cake
674,2.0 servings,apricots
675,24.0 servings,cherries
676,4.0 servings,cinnamon
677,1.0 servings,juice of orange
678,1.0 servings,nectarine
679,1.0 cup,nonfat cool whip
680,4.0 servings,nutmeg
681,2.0 servings,peaches
682,1.0 servings,plum
683,1.0 bunch,bok choy
684,1.0 bunch,broccolini
685,4.0 servings,cooking oil
686,2.0 cloves,garlic
687,450.0 g,hokkien noodles
688,0.25 cup,maple syrup
689,1.0 pinch,salt
690,2.0 Tbsps,sesame oil
691,2.0 Tbsps,sesame seeds
692,0.25 cup,soy sauce
693,2.0 servings,spring onions
694,200.0 g,tofu
695,1.0 tsp,TSP
696,2.0 Tbsps,water
697,1.0 tbsp,balsamic vinegar
698,2.0 tsp,brown sugar
699,2.0 tbsp,butter
700,64.0 ounces,chicken broth
701,3.0 tbsp,flour
702,4.0 servings,french bread
703,2.0 tbsp,fresh thyme
704,3.0 servings,garlic cloves
705,4.0 servings,low fat swiss cheese
706,0.5 tsp,pepper
707,0.5 tsp,salt
708,4.0 servings,sweet onions
709,1.0 tbsp,worcestershire sauce
710,2.0 servings,bay leaves
711,0.75 cup,breadcrumbs
712,1.0 tablespoon,butter
713,0.5 cup,carrot
714,2.0 cups,chicken stock
715,1.0 teaspoon,cornstarch
716,2.0 servings,eggs
717,0.25 cup,flour
718,0.25 cup,fresh parsley
719,0.333333333333 cup,ham
720,4.0 servings,kosher salt
721,2.0 pounds,lamb rib chops
722,1.0 cup,onion
723,2.0 tablespoons,port
724,0.25 cup,red wine vinegar
725,1.0 bunch,thyme
726,0.5 cup,vegetable oil
727,0.25 teaspoon,black pepper
728,0.25 teaspoon,ground cardamom
729,0.5 teaspoon,ground cinnamon
730,0.5 teaspoon,ground coriander
731,0.25 teaspoon,ground cumin
732,10.0 servings,kosher salt
733,1.0 tablespoon,lime juice
734,1.0 teaspoon,lime zest
735,0.25 teaspoon,nutmeg
736,0.75 cup,pomegranate seeds
737,1.0 tablespoon,rose wine
738,0.5 cup,unsalted butter
739,4.0 pounds,winter squash
740,1.0 lb,breakfast sausage
741,28.0 oz,canned great northern beans
742,28.0 oz,canned tomatoes
743,2.0 rib,celery
744,32.0 oz,chicken broth
745,1.0 t,dried basil
746,1.0 t,dried oregano
747,0.75 t,dried rosemary
748,3.0 cloves,garlic
749,0.5 cup,onion
750,1.0 servings,beans
751,15.0 ounce,canned black beans
752,0.5 teaspoon,coriander
753,10.0 servings,corn tortillas
754,0.5 teaspoon,cumin
755,0.5 cup,fresh cilantro
756,0.5 cup,fresh corn kernels
757,1.0 clove,garlic
758,0.25 teaspoon,kosher salt
759,1.5 tablespoons,olive oil
